,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,hour,minute
0,6,1,1,2,0,0,3,5,7,4,5,1,0,0,3,2,2,1,0,1,2,0,1,2,5,0,7,20
1,6,1,1,1,4,14,3,3,7,2,5,1,0,0,3,2,8,1,0,2,0,1,0,2,5,16,6,9
2,3,4,0,4,0,7,3,5,7,2,5,0,0,0,0,2,2,1,0,2,0,1,0,2,5,3,6,0
3,2,1,1,4,2,9,3,3,7,4,5,7,0,0,0,2,8,1,0,2,0,1,0,2,5,1,4,30
4,5,3,1,2,1,0,1,2,2,2,5,0,0,3,3,2,2,3,5,2,0,1,1,2,5,12,11,30
5,6,0,1,2,3,11,1,5,7,0,5,5,2,3,0,2,8,0,0,2,0,1,0,2,5,15,16,18
6,5,4,1,4,2,10,3,5,9,2,5,7,0,0,3,2,2,1,0,2,2,1,0,2,6,10,16,50
7,2,0,1,4,0,5,3,5,6,2,5,7,0,3,3,2,8,1,1,2,3,2,5,3,5,3,15,30
8,1,1,1,6,2,9,3,5,6,2,5,1,0,0,3,2,8,1,0,2,2,1,4,2,6,12,7,25
9,4,0,1,4,2,5,3,5,6,4,5,1,0,0,3,2,8,1,1,2,3,2,5,3,5,10,8,40
10,5,4,0,1,2,7,3,1,5,4,5,0,0,0,3,2,8,4,0,2,2,1,4,1,0,11,9,25
11,0,1,1,4,0,0,0,1,1,4,5,1,0,0,3,2,2,1,0,1,0,0,0,2,5,12,17,10
12,4,2,1,0,1,11,3,2,6,2,5,1,0,0,3,2,8,1,0,2,0,1,1,2,5,11,10,40
13,6,3,2,4,3,0,3,1,6,0,0,0,0,3,0,2,8,1,1,2,0,1,1,2,5,16,20,1
14,1,0,1,6,2,0,3,5,1,1,5,1,3,0,3,2,8,2,1,2,0,1,0,2,5,9,10,21
15,4,1,1,4,0,3,3,5,7,4,5,1,0,0,3,7,4,1,1,2,0,0,1,2,5,0,15,40
16,5,4,0,4,4,0,3,1,3,1,5,0,0,0,3,2,8,4,0,2,3,2,5,3,5,1,9,25
17,5,0,1,4,3,11,3,2,6,4,5,7,0,0,3,2,8,1,0,2,0,1,0,2,5,13,11,10
18,2,1,1,1,2,8,3,5,2,4,5,1,0,3,3,2,2,2,3,2,0,1,1,2,5,10,13,48
19,6,0,1,4,4,5,3,5,6,4,5,0,1,0,3,2,2,1,2,3,2,0,0,2,5,14,12,50
20,4,0,1,1,2,5,3,5,6,5,5,1,0,3,3,2,8,1,0,2,3,2,5,3,5,1,16,40
21,1,0,1,2,1,11,3,5,9,2,5,0,0,0,3,2,8,0,0,2,1,0,4,2,5,1,11,40
22,4,1,1,4,1,5,0,3,7,2,5,1,0,0,0,2,8,1,0,2,3,2,5,3,5,11,21,10
23,5,0,1,4,2,10,0,5,6,4,5,1,0,3,0,2,2,0,0,3,3,2,5,3,5,11,17,0
24,5,3,1,4,2,5,3,5,7,4,5,7,0,3,0,4,8,1,0,2,3,2,5,3,5,0,11,30
25,4,2,1,4,4,0,3,5,6,2,6,7,0,3,3,3,8,1,1,2,0,1,1,2,5,3,8,55
26,0,0,1,4,5,7,3,5,6,2,5,1,0,3,3,2,2,1,1,2,3,2,5,3,5,10,13,10
27,2,0,1,4,2,7,3,2,6,2,5,7,0,0,3,2,8,2,1,11,0,1,0,1,5,19,20,31
28,3,1,1,5,3,0,3,5,7,4,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,1,9,32
29,5,0,1,1,1,5,3,5,6,2,5,0,0,0,3,2,8,0,0,2,3,2,5,3,5,9,20,50
30,1,1,1,4,0,0,3,5,7,2,5,5,0,0,3,2,8,1,0,2,0,1,0,2,5,16,9,2
31,0,1,1,4,1,3,3,2,2,6,5,7,0,3,3,4,8,1,0,2,0,1,0,2,5,0,9,0
32,0,1,1,0,2,13,3,5,6,4,5,4,0,0,3,2,2,2,0,2,2,1,1,1,6,0,11,5
33,3,1,1,1,2,0,0,4,1,2,5,0,0,0,3,2,8,1,0,2,0,1,0,2,5,10,8,0
34,5,0,1,4,3,3,3,5,6,4,5,1,2,0,3,2,8,1,0,2,0,1,0,1,5,3,17,0
35,6,2,1,4,0,3,3,5,6,2,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,3,14,10
36,6,0,1,4,3,0,3,5,6,2,5,7,0,0,3,2,8,1,0,4,3,2,5,3,5,3,16,45
37,0,4,1,4,2,5,3,5,6,6,7,7,0,0,3,2,8,1,0,2,3,2,5,3,5,12,18,47
38,2,1,1,4,2,5,3,1,10,4,1,1,0,0,3,2,8,1,0,2,0,1,1,2,5,1,13,12
