,Accident_severity
0,Slight Injury
1,Slight Injury
2,Serious Injury
3,Slight Injury
4,Slight Injury
5,Slight Injury
6,Slight Injury
7,Slight Injury
8,Slight Injury
9,Serious Injury
10,Serious Injury
11,Serious Injury
12,Slight Injury
13,Slight Injury
14,Serious Injury
15,Serious Injury
16,Slight Injury
17,Serious Injury
18,Slight Injury
19,Serious Injury
20,Slight Injury
21,Serious Injury
22,Serious Injury
23,Serious Injury
24,Slight Injury
25,Slight Injury
26,Slight Injury
27,Slight Injury
28,Slight Injury
29,Slight Injury
30,Slight Injury
31,Slight Injury
32,Slight Injury
33,Slight Injury
34,Slight Injury
35,Slight Injury
36,Slight Injury
37,Slight Injury
38,Slight Injury
39,Slight Injury
40,Slight Injury
41,Slight Injury
42,Slight Injury
43,Slight Injury
44,Slight Injury
45,Serious Injury
46,Slight Injury
47,Slight Injury
48,Slight Injury
49,Slight Injury
50,Slight Injury
51,Slight Injury
52,Slight Injury
53,Slight Injury
54,Slight Injury
55,Slight Injury
56,Slight Injury
57,Slight Injury
58,Slight Injury
59,Slight Injury
60,Slight Injury
61,Slight Injury
62,Slight Injury
63,Slight Injury
64,Slight Injury
65,Slight Injury
66,Slight Injury
67,Slight Injury
68,Slight Injury
69,Slight Injury
70,Slight Injury
71,Slight Injury
72,Slight Injury
73,Slight Injury
74,Slight Injury
75,Slight Injury
76,Serious Injury
77,Slight Injury
78,Slight Injury
79,Slight Injury
80,Serious Injury
81,Serious Injury
82,Slight Injury
83,Slight Injury
84,Slight Injury
85,Slight Injury
86,Slight Injury
87,Serious Injury
88,Serious Injury
89,Fatal injury
90,Fatal injury
91,Slight Injury
92,Slight Injury
93,Slight Injury
94,Slight Injury
95,Slight Injury
96,Slight Injury
97,Slight Injury
98,Slight Injury
99,Slight Injury
100,Slight Injury
101,Slight Injury
102,Slight Injury
103,Slight Injury
104,Slight Injury
105,Slight Injury
106,Slight Injury
107,Serious Injury
108,Serious Injury
109,Serious Injury
110,Serious Injury
111,Slight Injury
112,Slight Injury
113,Slight Injury
114,Slight Injury
115,Slight Injury
116,Slight Injury
117,Slight Injury
118,Slight Injury
119,Slight Injury
120,Slight Injury
121,Slight Injury
122,Slight Injury
123,Slight Injury
124,Slight Injury
125,Slight Injury
126,Slight Injury
127,Serious Injury
128,Slight Injury
129,Slight Injury
130,Slight Injury
131,Slight Injury
132,Slight Injury
133,Slight Injury
134,Slight Injury
135,Slight Injury
136,Slight Injury
137,Serious Injury
138,Slight Injury
139,Slight Injury
140,Serious Injury
141,Serious Injury
142,Serious Injury
143,Serious Injury
144,Slight Injury
145,Slight Injury
146,Slight Injury
147,Slight Injury
148,Slight Injury
149,Slight Injury
150,Slight Injury
151,Slight Injury
152,Slight Injury
153,Slight Injury
154,Slight Injury
155,Slight Injury
156,Slight Injury
157,Slight Injury
158,Slight Injury
159,Slight Injury
160,Slight Injury
161,Slight Injury
162,Slight Injury
163,Slight Injury
164,Slight Injury
165,Slight Injury
166,Slight Injury
167,Slight Injury
168,Slight Injury
169,Slight Injury
170,Slight Injury
171,Slight Injury
172,Slight Injury
173,Slight Injury
174,Slight Injury
175,Slight Injury
176,Slight Injury
177,Slight Injury
178,Slight Injury
179,Slight Injury
180,Slight Injury
181,Slight Injury
182,Slight Injury
183,Slight Injury
184,Slight Injury
185,Slight Injury
186,Slight Injury
187,Slight Injury
188,Slight Injury
189,Serious Injury
190,Serious Injury
191,Serious Injury
192,Slight Injury
193,Slight Injury
194,Slight Injury
195,Slight Injury
196,Serious Injury
197,Slight Injury
198,Slight Injury
199,Slight Injury
200,Slight Injury
201,Slight Injury
202,Slight Injury
203,Slight Injury
204,Slight Injury
205,Serious Injury
206,Serious Injury
207,Slight Injury
208,Slight Injury
209,Slight Injury
210,Slight Injury
211,Slight Injury
212,Slight Injury
213,Slight Injury
214,Slight Injury
215,Slight Injury
216,Slight Injury
217,Slight Injury
218,Slight Injury
219,Serious Injury
220,Serious Injury
221,Serious Injury
222,Serious Injury
223,Serious Injury
224,Slight Injury
225,Slight Injury
226,Slight Injury
227,Slight Injury
228,Slight Injury
229,Slight Injury
230,Slight Injury
231,Slight Injury
232,Slight Injury
233,Slight Injury
234,Slight Injury
235,Slight Injury
236,Slight Injury
237,Slight Injury
238,Slight Injury
239,Slight Injury
240,Slight Injury
241,Slight Injury
242,Slight Injury
243,Serious Injury
244,Serious Injury
245,Slight Injury
246,Slight Injury
247,Slight Injury
248,Slight Injury
249,Slight Injury
250,Slight Injury
251,Slight Injury
252,Slight Injury
253,Slight Injury
254,Slight Injury
255,Slight Injury
256,Slight Injury
257,Slight Injury
258,Slight Injury
259,Slight Injury
260,Slight Injury
261,Slight Injury
262,Slight Injury
263,Serious Injury
264,Serious Injury
265,Slight Injury
266,Slight Injury
267,Slight Injury
268,Slight Injury
269,Slight Injury
270,Slight Injury
271,Slight Injury
272,Slight Injury
273,Slight Injury
274,Slight Injury
275,Slight Injury
276,Slight Injury
277,Slight Injury
278,Slight Injury
279,Slight Injury
280,Slight Injury
281,Serious Injury
282,Serious Injury
283,Serious Injury
284,Serious Injury
285,Serious Injury
286,Slight Injury
287,Slight Injury
288,Slight Injury
289,Slight Injury
290,Slight Injury
291,Slight Injury
292,Slight Injury
293,Slight Injury
294,Slight Injury
295,Slight Injury
296,Slight Injury
297,Slight Injury
298,Slight Injury
299,Slight Injury
300,Slight Injury
301,Slight Injury
302,Slight Injury
303,Slight Injury
304,Slight Injury
305,Slight Injury
306,Slight Injury
307,Slight Injury
308,Slight Injury
309,Slight Injury
310,Slight Injury
311,Slight Injury
312,Slight Injury
313,Slight Injury
314,Slight Injury
315,Slight Injury
316,Slight Injury
317,Slight Injury
318,Slight Injury
319,Slight Injury
320,Slight Injury
321,Slight Injury
322,Slight Injury
323,Slight Injury
324,Slight Injury
325,Slight Injury
326,Slight Injury
327,Slight Injury
328,Slight Injury
329,Slight Injury
330,Slight Injury
331,Slight Injury
332,Slight Injury
333,Slight Injury
334,Slight Injury
335,Slight Injury
336,Slight Injury
337,Slight Injury
338,Slight Injury
339,Slight Injury
340,Slight Injury
341,Slight Injury
342,Slight Injury
343,Slight Injury
344,Slight Injury
345,Slight Injury
346,Slight Injury
347,Slight Injury
348,Slight Injury
349,Slight Injury
350,Slight Injury
351,Slight Injury
352,Slight Injury
353,Serious Injury
354,Serious Injury
355,Slight Injury
356,Slight Injury
357,Slight Injury
358,Slight Injury
359,Slight Injury
360,Slight Injury
361,Slight Injury
362,Slight Injury
363,Slight Injury
364,Slight Injury
365,Slight Injury
366,Slight Injury
367,Slight Injury
368,Slight Injury
369,Slight Injury
370,Slight Injury
371,Slight Injury
372,Slight Injury
373,Slight Injury
374,Slight Injury
375,Slight Injury
376,Serious Injury
377,Slight Injury
378,Slight Injury
379,Slight Injury
380,Slight Injury
381,Slight Injury
382,Slight Injury
383,Slight Injury
384,Slight Injury
385,Slight Injury
386,Serious Injury
387,Serious Injury
388,Serious Injury
389,Serious Injury
390,Slight Injury
391,Serious Injury
392,Slight Injury
393,Slight Injury
394,Slight Injury
395,Slight Injury
396,Slight Injury
397,Slight Injury
398,Serious Injury
399,Slight Injury
400,Slight Injury
401,Slight Injury
402,Serious Injury
403,Serious Injury
404,Slight Injury
405,Slight Injury
406,Slight Injury
407,Slight Injury
408,Slight Injury
409,Slight Injury
410,Slight Injury
411,Slight Injury
412,Serious Injury
413,Slight Injury
414,Slight Injury
415,Slight Injury
416,Slight Injury
417,Slight Injury
418,Slight Injury
419,Slight Injury
420,Slight Injury
421,Slight Injury
422,Slight Injury
423,Slight Injury
424,Slight Injury
425,Slight Injury
426,Slight Injury
427,Slight Injury
428,Slight Injury
429,Slight Injury
430,Slight Injury
431,Slight Injury
432,Slight Injury
433,Slight Injury
434,Slight Injury
435,Slight Injury
436,Slight Injury
437,Slight Injury
438,Slight Injury
439,Slight Injury
440,Slight Injury
441,Slight Injury
442,Serious Injury
443,Slight Injury
444,Slight Injury
445,Slight Injury
446,Slight Injury
447,Slight Injury
448,Slight Injury
449,Slight Injury
450,Slight Injury
451,Slight Injury
452,Slight Injury
453,Fatal injury
454,Serious Injury
455,Serious Injury
456,Serious Injury
457,Serious Injury
458,Serious Injury
459,Serious Injury
460,Serious Injury
461,Slight Injury
462,Slight Injury
463,Serious Injury
464,Serious Injury
465,Serious Injury
466,Serious Injury
467,Serious Injury
468,Serious Injury
469,Slight Injury
470,Slight Injury
471,Serious Injury
472,Slight Injury
473,Slight Injury
474,Slight Injury
475,Slight Injury
476,Slight Injury
477,Slight Injury
478,Slight Injury
479,Slight Injury
480,Slight Injury
481,Slight Injury
482,Slight Injury
483,Slight Injury
484,Slight Injury
485,Slight Injury
486,Slight Injury
487,Slight Injury
488,Slight Injury
489,Slight Injury
490,Serious Injury
491,Slight Injury
492,Slight Injury
493,Slight Injury
494,Slight Injury
495,Slight Injury
496,Slight Injury
497,Slight Injury
498,Slight Injury
499,Slight Injury
500,Slight Injury
501,Slight Injury
502,Slight Injury
503,Slight Injury
504,Slight Injury
505,Slight Injury
506,Slight Injury
507,Serious Injury
508,Serious Injury
509,Slight Injury
510,Slight Injury
511,Slight Injury
512,Slight Injury
513,Slight Injury
514,Slight Injury
515,Slight Injury
516,Slight Injury
517,Slight Injury
518,Slight Injury
519,Slight Injury
520,Slight Injury
521,Slight Injury
522,Slight Injury
523,Fatal injury
524,Fatal injury
525,Slight Injury
526,Slight Injury
527,Serious Injury
528,Serious Injury
529,Slight Injury
530,Slight Injury
531,Slight Injury
532,Serious Injury
533,Serious Injury
534,Serious Injury
535,Serious Injury
536,Slight Injury
537,Slight Injury
538,Serious Injury
539,Serious Injury
540,Serious Injury
541,Serious Injury
542,Serious Injury
543,Fatal injury
544,Fatal injury
545,Slight Injury
546,Slight Injury
547,Slight Injury
548,Slight Injury
549,Serious Injury
550,Serious Injury
551,Slight Injury
552,Slight Injury
553,Slight Injury
554,Serious Injury
555,Slight Injury
556,Slight Injury
557,Slight Injury
558,Slight Injury
559,Slight Injury
560,Slight Injury
561,Slight Injury
562,Slight Injury
563,Serious Injury
564,Serious Injury
565,Serious Injury
566,Slight Injury
567,Slight Injury
568,Slight Injury
569,Slight Injury
570,Slight Injury
571,Slight Injury
572,Slight Injury
573,Slight Injury
574,Slight Injury
575,Slight Injury
576,Slight Injury
577,Slight Injury
578,Slight Injury
579,Slight Injury
580,Slight Injury
581,Slight Injury
582,Slight Injury
583,Serious Injury
584,Serious Injury
585,Slight Injury
586,Slight Injury
587,Slight Injury
588,Slight Injury
589,Slight Injury
590,Slight Injury
591,Slight Injury
592,Serious Injury
593,Serious Injury
594,Slight Injury
595,Slight Injury
596,Slight Injury
597,Slight Injury
598,Slight Injury
599,Slight Injury
600,Slight Injury
601,Slight Injury
602,Slight Injury
603,Slight Injury
604,Slight Injury
605,Slight Injury
606,Slight Injury
607,Slight Injury
608,Slight Injury
609,Slight Injury
610,Slight Injury
611,Slight Injury
612,Slight Injury
613,Slight Injury
614,Slight Injury
615,Slight Injury
616,Serious Injury
617,Serious Injury
618,Serious Injury
619,Slight Injury
620,Slight Injury
621,Slight Injury
622,Slight Injury
623,Slight Injury
624,Slight Injury
625,Slight Injury
626,Slight Injury
627,Serious Injury
628,Slight Injury
629,Slight Injury
630,Slight Injury
631,Slight Injury
632,Slight Injury
633,Fatal injury
634,Fatal injury
635,Fatal injury
636,Fatal injury
637,Slight Injury
638,Slight Injury
639,Slight Injury
640,Slight Injury
641,Slight Injury
642,Fatal injury
643,Slight Injury
644,Slight Injury
645,Slight Injury
646,Slight Injury
647,Slight Injury
648,Serious Injury
649,Serious Injury
650,Slight Injury
651,Slight Injury
652,Fatal injury
653,Fatal injury
654,Serious Injury
655,Serious Injury
656,Serious Injury
657,Slight Injury
658,Slight Injury
659,Slight Injury
660,Slight Injury
661,Slight Injury
662,Slight Injury
663,Slight Injury
664,Slight Injury
665,Slight Injury
666,Slight Injury
667,Serious Injury
668,Serious Injury
669,Slight Injury
670,Slight Injury
671,Slight Injury
672,Slight Injury
673,Slight Injury
674,Slight Injury
675,Serious Injury
676,Serious Injury
677,Slight Injury
678,Slight Injury
679,Slight Injury
680,Slight Injury
681,Slight Injury
682,Slight Injury
683,Slight Injury
684,Slight Injury
685,Slight Injury
686,Slight Injury
687,Serious Injury
688,Serious Injury
689,Slight Injury
690,Slight Injury
691,Slight Injury
692,Slight Injury
693,Serious Injury
694,Slight Injury
695,Slight Injury
696,Slight Injury
697,Slight Injury
698,Slight Injury
699,Slight Injury
700,Slight Injury
701,Slight Injury
702,Slight Injury
703,Slight Injury
704,Slight Injury
705,Slight Injury
706,Slight Injury
707,Serious Injury
708,Serious Injury
709,Slight Injury
710,Slight Injury
711,Slight Injury
712,Slight Injury
713,Slight Injury
714,Slight Injury
715,Slight Injury
716,Slight Injury
717,Slight Injury
718,Slight Injury
719,Slight Injury
720,Slight Injury
721,Slight Injury
722,Slight Injury
723,Slight Injury
724,Slight Injury
725,Slight Injury
726,Slight Injury
727,Slight Injury
728,Slight Injury
729,Slight Injury
730,Slight Injury
731,Slight Injury
732,Slight Injury
733,Slight Injury
734,Slight Injury
735,Slight Injury
736,Slight Injury
737,Slight Injury
738,Slight Injury
739,Slight Injury
740,Slight Injury
741,Slight Injury
742,Serious Injury
743,Serious Injury
744,Serious Injury
745,Slight Injury
746,Slight Injury
747,Slight Injury
748,Slight Injury
749,Slight Injury
750,Slight Injury
751,Serious Injury
752,Serious Injury
753,Slight Injury
754,Slight Injury
755,Fatal injury
756,Slight Injury
757,Slight Injury
758,Slight Injury
759,Slight Injury
760,Slight Injury
761,Slight Injury
762,Slight Injury
763,Slight Injury
764,Slight Injury
765,Slight Injury
766,Slight Injury
767,Slight Injury
768,Serious Injury
769,Serious Injury
770,Slight Injury
771,Slight Injury
772,Slight Injury
773,Slight Injury
774,Slight Injury
775,Slight Injury
776,Slight Injury
777,Serious Injury
778,Slight Injury
779,Slight Injury
780,Slight Injury
781,Slight Injury
782,Slight Injury
783,Slight Injury
784,Slight Injury
785,Slight Injury
786,Slight Injury
787,Serious Injury
788,Serious Injury
789,Slight Injury
790,Slight Injury
791,Slight Injury
792,Slight Injury
793,Slight Injury
794,Slight Injury
795,Slight Injury
796,Slight Injury
797,Serious Injury
798,Slight Injury
799,Slight Injury
800,Serious Injury
801,Slight Injury
802,Slight Injury
803,Slight Injury
804,Serious Injury
805,Serious Injury
806,Slight Injury
807,Slight Injury
808,Slight Injury
809,Slight Injury
810,Slight Injury
811,Serious Injury
812,Slight Injury
813,Slight Injury
814,Slight Injury
815,Slight Injury
816,Slight Injury
817,Slight Injury
818,Slight Injury
819,Slight Injury
820,Serious Injury
821,Serious Injury
822,Serious Injury
823,Slight Injury
824,Slight Injury
825,Slight Injury
826,Slight Injury
827,Slight Injury
828,Slight Injury
829,Slight Injury
830,Slight Injury
831,Slight Injury
832,Serious Injury
833,Slight Injury
834,Slight Injury
835,Slight Injury
836,Slight Injury
837,Slight Injury
838,Slight Injury
839,Serious Injury
840,Serious Injury
841,Serious Injury
842,Serious Injury
843,Slight Injury
844,Slight Injury
845,Slight Injury
846,Serious Injury
847,Serious Injury
848,Slight Injury
849,Slight Injury
850,Slight Injury
851,Slight Injury
852,Serious Injury
853,Serious Injury
854,Slight Injury
855,Serious Injury
856,Slight Injury
857,Slight Injury
858,Slight Injury
859,Slight Injury
860,Slight Injury
861,Slight Injury
862,Slight Injury
863,Slight Injury
864,Fatal injury
865,Serious Injury
866,Serious Injury
867,Slight Injury
868,Slight Injury
869,Slight Injury
870,Serious Injury
871,Slight Injury
872,Slight Injury
873,Slight Injury
874,Slight Injury
875,Slight Injury
876,Slight Injury
877,Slight Injury
878,Slight Injury
879,Slight Injury
880,Slight Injury
881,Slight Injury
882,Slight Injury
883,Slight Injury
884,Slight Injury
885,Slight Injury
886,Slight Injury
887,Slight Injury
888,Serious Injury
889,Serious Injury
890,Serious Injury
891,Slight Injury
892,Slight Injury
893,Slight Injury
894,Slight Injury
895,Slight Injury
896,Slight Injury
897,Slight Injury
898,Slight Injury
899,Slight Injury
900,Slight Injury
901,Serious Injury
902,Serious Injury
903,Slight Injury
904,Slight Injury
905,Slight Injury
906,Slight Injury
907,Slight Injury
908,Serious Injury
909,Serious Injury
910,Serious Injury
911,Serious Injury
912,Serious Injury
913,Serious Injury
914,Serious Injury
915,Serious Injury
916,Serious Injury
917,Slight Injury
918,Serious Injury
919,Serious Injury
920,Serious Injury
921,Serious Injury
922,Slight Injury
923,Slight Injury
924,Slight Injury
925,Slight Injury
926,Slight Injury
927,Fatal injury
928,Fatal injury
929,Fatal injury
930,Fatal injury
931,Slight Injury
932,Slight Injury
933,Slight Injury
934,Slight Injury
935,Slight Injury
936,Serious Injury
937,Serious Injury
938,Serious Injury
939,Slight Injury
940,Slight Injury
941,Slight Injury
942,Slight Injury
943,Slight Injury
944,Slight Injury
945,Serious Injury
946,Slight Injury
947,Slight Injury
948,Slight Injury
949,Slight Injury
950,Slight Injury
951,Slight Injury
952,Slight Injury
953,Slight Injury
954,Slight Injury
955,Slight Injury
956,Slight Injury
957,Slight Injury
958,Slight Injury
959,Slight Injury
960,Slight Injury
961,Serious Injury
962,Serious Injury
963,Slight Injury
964,Slight Injury
965,Slight Injury
966,Slight Injury
967,Slight Injury
968,Slight Injury
969,Slight Injury
970,Slight Injury
971,Slight Injury
972,Slight Injury
973,Slight Injury
974,Slight Injury
975,Slight Injury
976,Slight Injury
977,Slight Injury
978,Serious Injury
979,Serious Injury
980,Serious Injury
981,Slight Injury
982,Slight Injury
983,Slight Injury
984,Slight Injury
985,Serious Injury
986,Serious Injury
987,Serious Injury
988,Serious Injury
989,Slight Injury
990,Slight Injury
991,Slight Injury
992,Slight Injury
993,Serious Injury
994,Serious Injury
995,Slight Injury
996,Slight Injury
997,Serious Injury
998,Slight Injury
999,Slight Injury
1000,Slight Injury
1001,Slight Injury
1002,Slight Injury
1003,Slight Injury
1004,Slight Injury
1005,Serious Injury
1006,Serious Injury
1007,Serious Injury
1008,Slight Injury
1009,Slight Injury
1010,Slight Injury
1011,Slight Injury
1012,Slight Injury
1013,Slight Injury
1014,Slight Injury
1015,Slight Injury
1016,Slight Injury
1017,Slight Injury
1018,Slight Injury
1019,Slight Injury
1020,Slight Injury
1021,Serious Injury
1022,Serious Injury
1023,Serious Injury
1024,Slight Injury
1025,Slight Injury
1026,Slight Injury
1027,Slight Injury
1028,Slight Injury
1029,Slight Injury
1030,Slight Injury
1031,Serious Injury
1032,Serious Injury
1033,Slight Injury
1034,Slight Injury
1035,Slight Injury
1036,Slight Injury
1037,Slight Injury
1038,Slight Injury
1039,Slight Injury
