,Accident_severity
0,2
1,1
2,1
3,2
4,1
5,2
6,2
7,2
8,2
9,2
10,2
11,0
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,1
24,2
25,2
26,2
27,2
28,2
29,2
30,1
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,1
42,2
43,2
44,2
45,2
46,2
47,2
48,1
49,2
50,1
51,1
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,1
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,0
87,2
88,1
89,2
90,2
91,2
92,2
93,0
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,1
102,2
103,2
104,2
105,2
106,2
107,2
108,1
109,2
110,2
111,2
112,2
113,2
114,2
115,1
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,1
124,2
125,2
126,2
127,2
128,2
129,1
130,2
131,2
132,2
133,2
134,2
135,1
136,2
137,2
138,1
139,2
140,2
141,2
142,1
143,2
144,2
145,2
146,2
147,1
148,1
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,1
163,2
164,2
165,2
166,2
167,1
168,2
169,1
170,2
171,2
172,2
173,2
174,2
175,1
176,2
177,2
178,2
179,1
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,1
206,2
207,1
208,2
209,2
210,2
211,2
212,1
213,1
214,1
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,1
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,1
234,1
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,1
248,2
249,2
250,1
251,2
252,2
253,2
254,2
255,2
256,2
257,1
258,2
259,1
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,1
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,1
282,2
283,2
284,1
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,1
305,2
306,2
307,0
308,2
309,2
310,2
311,1
312,1
313,2
314,1
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,1
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,1
334,2
335,2
336,2
337,0
338,2
339,2
340,2
341,2
342,1
343,1
344,1
345,1
346,2
347,1
348,2
349,2
350,2
351,2
352,2
353,1
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,1
369,2
370,2
371,0
372,2
373,2
374,2
375,2
376,1
377,2
378,2
379,1
380,1
381,2
382,1
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,1
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,2
403,1
404,2
405,2
406,1
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,1
424,2
425,2
426,1
427,2
428,2
429,2
430,2
431,2
432,1
433,2
434,2
435,2
436,2
437,2
438,2
439,1
440,2
441,2
442,2
443,2
444,1
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,1
454,2
455,2
456,1
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,1
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,1
488,1
489,2
490,2
491,2
492,2
493,2
494,2
495,1
496,0
497,1
498,2
499,1
500,2
501,2
502,2
503,2
504,2
505,2
506,1
507,2
508,2
509,2
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,1
518,2
519,2
520,2
521,2
522,1
523,2
524,2
525,2
526,2
527,2
528,2
529,1
530,2
531,2
532,2
533,2
534,1
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,1
552,2
553,2
554,2
555,2
556,2
557,2
558,1
559,0
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,2
568,2
569,1
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,1
578,2
579,2
580,2
581,1
582,2
583,2
584,2
585,1
586,1
587,2
588,2
589,2
590,2
591,2
592,1
593,2
594,2
595,2
596,1
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,1
606,2
607,1
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,1
616,2
617,1
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,1
626,2
627,2
628,2
629,1
630,2
631,2
632,2
633,2
634,1
635,2
636,1
637,2
638,1
639,2
640,1
641,2
642,2
643,2
644,2
645,2
646,1
647,2
648,2
649,1
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,1
660,2
661,2
662,0
663,2
664,2
665,2
666,1
667,1
668,2
669,2
670,2
671,1
672,2
673,2
674,1
675,1
676,2
677,2
678,2
679,2
680,2
681,2
682,2
683,2
684,2
685,1
686,2
687,1
688,2
689,2
690,2
691,2
692,2
693,1
694,1
695,2
696,2
697,2
698,2
699,2
700,2
701,2
702,2
703,1
704,1
705,2
706,1
707,2
708,1
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,2
720,0
721,1
722,2
723,2
724,2
725,2
726,2
727,2
728,1
729,2
